path,inspect_model_name,epoch_model_name,epoch_model_publication_date,epoch_organization,benchmark,task_args,prompt_schema,total_samples,mean_accuracy,std_accuracy,mean_input_tokens,mean_output_tokens,num_runs,filenames
zero_shot_cot/gpqa/claude-3-5-sonnet-20241022,anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,gpqa,"{'subset': 'gpqa_main', 'subtasks': ['Biology'], 'cot': True}",zero_shot_cot,78,0.691025641025641,0.03698495132208343,28831,26887,10,"['2024-11-07T10-57-58-05-00_gpqa_KgbY6Hrou8iyYZcsfCFBLk.json', '2024-11-07T11-02-53-05-00_gpqa_gge4N8XsSRk8C9Wf9xxjo7.json', '2024-11-07T11-07-19-05-00_gpqa_bUL5dQBm5sgVEjYSygy4xW.json', '2024-11-07T11-12-21-05-00_gpqa_TzToiqQ2dTdxuLQfNUUx4h.json', '2024-11-07T11-17-14-05-00_gpqa_Jhxu4F3TUB9NupCZm6Qfke.json', '2024-11-07T11-22-21-05-00_gpqa_6TccoPaYw7ueaZQxtrzG5F.json', '2024-11-07T11-26-25-05-00_gpqa_htKqRmCQM532hX8AKgKLMU.json', '2024-11-07T11-31-28-05-00_gpqa_Kt8Xtos9jnj8RVbCT872fk.json', '2024-11-07T11-35-28-05-00_gpqa_mmYBwzbts7YMWAcGeMuu7C.json', '2024-11-07T11-40-29-05-00_gpqa_Rf9Q86jEP7ifyLYUSp5ynx.json']"
five_shot/lab-bench-cloningscenarios/claude-3-5-sonnet-20241022,anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,lab-bench-cloningscenarios,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.4969696969696969,0.07585851860815591,1284190,3540,10,"['2024-11-06T13-17-25-05-00_lab-bench_VSYopsQnbZ6ax6Ab24EaGQ.json', '2024-11-06T13-20-03-05-00_lab-bench_P7FcBTeBDQKqNd7sLGMhCo.json', '2024-11-06T13-21-47-05-00_lab-bench_5NmZcjCeiMZeY46gf8ZNqF.json', '2024-11-06T13-23-18-05-00_lab-bench_Kc9T5mhfAxrnW9jXrkHdn4.json', '2024-11-06T13-25-49-05-00_lab-bench_hcA3rK8Uckr69eYDJQftpE.json', '2024-11-06T13-27-21-05-00_lab-bench_ZhzrKuKQYCW2XeRLfdkMhV.json', '2024-11-06T13-29-02-05-00_lab-bench_RUBrRjk6YerBHnYuRyofco.json', '2024-11-06T13-30-56-05-00_lab-bench_2aMvEmRdzcqyr73VYn7LLH.json', '2024-11-06T13-32-40-05-00_lab-bench_YUMRWDi2UsCMghK4ouo9VZ.json', '2024-11-06T13-34-27-05-00_lab-bench_NGX3ZqJB5w9iJiY84SxATv.json']"
zero_shot/lab-bench-cloningscenarios/claude-3-5-sonnet-20241022,anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,lab-bench-cloningscenarios,"{'subset': 'CloningScenarios', 'split': 'train'}",zero_shot,33,0.49393939393939396,0.06707861703387473,215079,299,10,"['2024-11-07T19-47-51-05-00_lab-bench_6pHwD746WvXBixLXveeqB7.json', '2024-11-07T19-48-18-05-00_lab-bench_dcrNgWorXcay3fKKQ4vhKv.json', '2024-11-07T19-48-50-05-00_lab-bench_Zgmqpx3bHXuTM9ukFmPbvP.json', '2024-11-07T19-49-18-05-00_lab-bench_VriDGuVPXGarHApn9wxTDL.json', '2024-11-07T19-50-01-05-00_lab-bench_P4XXU3zGqUweYRQEnJWcNW.json', '2024-11-07T19-50-29-05-00_lab-bench_nLexLkFRmLGMnLEQAptEpH.json', '2024-11-07T19-51-01-05-00_lab-bench_Wfdj4W3teLxndBQSNSi9Zz.json', '2024-11-07T19-51-30-05-00_lab-bench_aw68NVnG7Qt4L5B7X6y6Aj.json', '2024-11-07T19-52-02-05-00_lab-bench_FyU8qu6Dj4iomJngAnY5Ty.json', '2025-01-27T13-57-48-05-00_lab-bench_Mpe45BFpyLbVxkRV5w9AHY.json']"
zero_shot_cot/lab-bench-cloningscenarios/claude-3-5-sonnet-20241022,anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,lab-bench-cloningscenarios,"{'subset': 'CloningScenarios', 'split': 'train', 'cot': True}",zero_shot_cot,33,0.48181818181818176,0.06135895979186848,215739,11858,10,"['2024-11-07T12-03-34-05-00_lab-bench_KoiNdqwGNn6zgMeQVMGfGm.json', '2024-11-07T12-05-43-05-00_lab-bench_komQZpMgvzYKusdbiaXoQy.json', '2024-11-07T12-07-51-05-00_lab-bench_Az2MCwKYUcdbzSvfhuPmp6.json', '2024-11-07T12-09-59-05-00_lab-bench_RU8nXgozmURFhAuUcThyfT.json', '2024-11-07T12-12-13-05-00_lab-bench_6eD4p7aggSTRtBZvyjiCKw.json', '2024-11-07T12-14-31-05-00_lab-bench_5oAKnpZNBayiyYPt9LsYg4.json', '2024-11-07T12-16-40-05-00_lab-bench_VdQpJ8LpMrN7yGrugThztG.json', '2024-11-07T12-18-45-05-00_lab-bench_TPALKSrJifEWELj3i2rN7J.json', '2024-11-07T12-20-57-05-00_lab-bench_PS8p29yMDBMfgXYzgzTesg.json', '2024-11-07T12-23-01-05-00_lab-bench_daRhcWe3tGR3zagDVuF3km.json']"
five_shot/lab-bench-litqa2/claude-3-5-sonnet-20241022,anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,lab-bench-litqa2,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.37889447236180906,0.018832119695216358,97893,2797,10,"['2024-11-06T08-11-03-05-00_lab-bench_7KyHNKFV8FGaNoA6kKvbnz.json', '2024-11-06T08-12-50-05-00_lab-bench_ZVyh37zG3n8CfFAooG3WAC.json', '2024-11-06T08-14-40-05-00_lab-bench_ENyuhqYJLSHGQ8QJ9QDgVb.json', '2024-11-06T08-16-19-05-00_lab-bench_CjQ4FvrZ96KqrVRw2EZH2J.json', '2024-11-06T08-18-05-05-00_lab-bench_GwierfXzVHuW9jmp3xZEzQ.json', '2024-11-06T08-19-55-05-00_lab-bench_VgvDgW7AWYa2XQUE6BXVfy.json', '2024-11-06T08-21-37-05-00_lab-bench_4uMEE65bCvye2u9SXURsuN.json', '2024-11-06T08-23-30-05-00_lab-bench_R5hULxDRVHmAfGubYXbKbS.json', '2024-11-06T08-25-17-05-00_lab-bench_WndgVZFrh7yb9fENJjKt5R.json', '2024-11-06T08-27-06-05-00_lab-bench_LzR7gfDr8jM774sEnbBhZn.json']"
zero_shot/lab-bench-litqa2/claude-3-5-sonnet-20241022,anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,lab-bench-litqa2,"{'subset': 'LitQA2', 'split': 'train'}",zero_shot,199,0.3944723618090452,0.028939954008661648,24501,2357,10,"['2024-11-07T21-02-16-05-00_lab-bench_TcFmGBwvbjwqndHbaqT6x5.json', '2024-11-07T21-03-15-05-00_lab-bench_Fe2T75eZyejwVKUMooSgSB.json', '2024-11-07T21-04-18-05-00_lab-bench_SJ37urVvhcTokaGZCVsHjP.json', '2024-11-07T21-05-16-05-00_lab-bench_Tr9in6WwaAbtdLZfPswLgm.json', '2024-11-07T21-06-13-05-00_lab-bench_g4c6ttJNnRhPveLtpWvQdJ.json', '2024-11-07T21-07-10-05-00_lab-bench_9F25SCSe4Xg9Rc5VkVrdv8.json', '2024-11-07T21-08-07-05-00_lab-bench_aw4Le6ERhga9qjCvcYb6Pz.json', '2024-11-07T21-09-09-05-00_lab-bench_fUfktmrXR9vKWsBtw7cQNx.json', '2024-11-07T21-10-08-05-00_lab-bench_NpvraQLHVpfckSmFBR96vi.json', '2024-11-07T21-15-01-05-00_lab-bench_HrpzCU4NDRCEBqPesgjPmZ.json']"
zero_shot_cot/lab-bench-litqa2/claude-3-5-sonnet-20241022,anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,lab-bench-litqa2,"{'subset': 'LitQA2', 'split': 'train', 'cot': True}",zero_shot_cot,199,0.41306532663316575,0.017536016520338208,28481,55290,10,"['2024-11-07T14-00-08-05-00_lab-bench_HJLcYFucQkWCpcQQC4sbrH.json', '2024-11-07T14-08-55-05-00_lab-bench_e4UqYeGNczSGU9CHAn2yos.json', '2024-11-07T14-18-14-05-00_lab-bench_cw9JWR4KDE3bBAQDttC4Cq.json', '2024-11-07T14-30-32-05-00_lab-bench_KFLBgoQfhjgG8hcTyP4Xc6.json', '2024-11-07T14-41-27-05-00_lab-bench_3XDEcif8UPw3rBWemZWdnW.json', '2024-11-07T14-53-26-05-00_lab-bench_Dyn9R3ayCpZaEhAf2QAfHm.json', '2024-11-07T15-23-24-05-00_lab-bench_o7cGaMTgZ2NoTpgjTw5fDS.json', '2024-11-07T15-35-42-05-00_lab-bench_T7Lao8mirw6XCNDGbXPnRj.json', '2024-11-07T15-44-05-05-00_lab-bench_VoovPBhb7hBcrzch26J4wJ.json', '2024-11-07T15-56-08-05-00_lab-bench_QNFxFNM47PRApHrsrDp3z6.json']"
five_shot/lab-bench-protocolqa/claude-3-5-sonnet-20241022,anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,lab-bench-protocolqa,"{'subset': 'ProtocolQA', 'split': 'train', 'n_shot': 5}",five_shot,108,0.7175925925925927,0.0251689914047841,1367817,19683,10,"['2024-11-06T09-31-34-05-00_lab-bench_mPBykwjZrhth32n89CD9by.json', '2024-11-06T09-35-23-05-00_lab-bench_EYn49q5pd8NCYvSSXwLSdV.json', '2024-11-06T09-40-46-05-00_lab-bench_25YF6MpUxSWeDA5M8RifrE.json', '2024-11-06T09-46-38-05-00_lab-bench_MRp4pZ3xHCckfNSYmWQPX3.json', '2024-11-06T09-51-35-05-00_lab-bench_hdBUVhy6RoTMzh6FrcAvwK.json', '2024-11-06T10-03-36-05-00_lab-bench_2JNryCeUJzuCJ6SNUvZmJV.json', '2024-11-06T10-09-01-05-00_lab-bench_HnW9AQVu5cch28gq6BhvnD.json', '2024-11-06T10-16-32-05-00_lab-bench_MrZKp3muF5B5rpQhtcdv8Q.json', '2024-11-06T10-20-28-05-00_lab-bench_g3zCaasErhZjBz2zwq2xM3.json', '2024-11-06T10-25-48-05-00_lab-bench_WZXN5HUbUKtF43xBiW7Mop.json']"
zero_shot/lab-bench-protocolqa/claude-3-5-sonnet-20241022,anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,lab-bench-protocolqa,"{'subset': 'ProtocolQA', 'split': 'train'}",zero_shot,108,0.65,0.03995691933995619,234097,1038,10,"['2024-11-07T22-56-53-05-00_lab-bench_cbX3p4UWaWF99xtddyLhSx.json', '2024-11-07T22-57-51-05-00_lab-bench_XFES7xjixuYXc7KAWd6fNm.json', '2024-11-07T22-58-52-05-00_lab-bench_WFirCjPyXt9cHraGXVVj8x.json', '2024-11-07T22-59-49-05-00_lab-bench_RCfbCFRr7LwD8kyH6CAYaJ.json', '2024-11-07T23-00-49-05-00_lab-bench_YY864FDU8A7gDahBJLoDi8.json', '2024-11-07T23-01-52-05-00_lab-bench_Yp668asfjhRQu4LEZGTe4w.json', '2024-11-07T23-02-56-05-00_lab-bench_TGmeK4VpdSdpYrFJiMDAEz.json', '2024-11-07T23-03-56-05-00_lab-bench_Y3ZA5D2PPuBG4CNZsyjaQa.json', '2024-11-07T23-05-00-05-00_lab-bench_dteZ2WhwvmvcYRKmZpjZxF.json', '2024-11-08T09-05-35-05-00_lab-bench_9Z8G3a6PJY2uhZnKVA78EX.json']"
zero_shot_cot/lab-bench-protocolqa/claude-3-5-sonnet-20241022,anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,lab-bench-protocolqa,"{'subset': 'ProtocolQA', 'split': 'train', 'cot': True}",zero_shot_cot,108,0.6657407407407407,0.01924995818458358,236257,34128,10,"['2024-11-07T17-14-47-05-00_lab-bench_j46xCXFjEP2bgqPUCg72SU.json', '2024-11-07T17-22-18-05-00_lab-bench_AkSPUY8i2A8GRGmn95d3KQ.json', '2024-11-07T17-29-57-05-00_lab-bench_FsdACMPZP3yuaiuGdQauki.json', '2024-11-07T17-37-30-05-00_lab-bench_autwT9CPPiN8DdDRBnZZKY.json', '2024-11-07T17-45-13-05-00_lab-bench_YPL9uUsGxuyHhQd7zQTMSR.json', '2024-11-07T17-52-44-05-00_lab-bench_jSQ22wANTuqaWxuYhyL69n.json', '2024-11-07T18-00-11-05-00_lab-bench_dK6fYFXUxtsezRQ9MwqWBJ.json', '2024-11-07T18-07-51-05-00_lab-bench_DePYznCNTRxTzncnJxiWrX.json', '2024-11-07T18-15-29-05-00_lab-bench_FHutgMUFofGFWHBDnGQwib.json', '2024-11-07T18-23-16-05-00_lab-bench_gqFHtXVxx6aJyT4TNgkuWi.json']"
five_shot/mmlu/claude-3-5-sonnet-20241022,anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,mmlu,"{'subtasks': 'biology', 'split': 'test', 'n_shot': 5}",five_shot,1300,0.8693846153846154,0.005227248689568006,931944,18477,10,"['2024-11-05T11-54-06-05-00_mmlu_2gXXpWvXqZ7hmfxwbGDjJb.json', '2024-11-05T12-29-09-05-00_mmlu_4aicaTEsZsbnXVQksxMho7.json', '2024-11-05T12-40-03-05-00_mmlu_k6FFcj39mqzeSYTN6UxtVu.json', '2024-11-05T12-51-56-05-00_mmlu_396F2batrvTsGZVJcqwauL.json', '2024-11-05T13-03-21-05-00_mmlu_XNYWHDFZbT4pRvyLyh2oye.json', '2024-11-05T13-15-17-05-00_mmlu_4V3qvPDayqSUy7bRZAGx2S.json', '2024-11-05T14-09-11-05-00_mmlu_f6wpWnH8zTHcvjXoF5QBJW.json', '2024-11-05T14-20-16-05-00_mmlu_gc2PrFnfvEBrBUKGg7CcWK.json', '2024-11-05T14-39-16-05-00_mmlu_5ogeTZER5C5DQ4fhZNHQhr.json', '2024-11-05T15-01-59-05-00_mmlu_W7Cavmcu9RUstWxRS2AhSK.json']"
zero_shot/mmlu/claude-3-5-sonnet-20241022,anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,mmlu,"{'subtasks': 'biology', 'split': 'test'}",zero_shot,1300,0.868923076923077,0.0028135111229426017,208228,18385,10,"['2024-11-08T10-24-05-05-00_mmlu_Kxvki9vJLaDahCiQCc9TBx.json', '2024-11-08T10-31-03-05-00_mmlu_nwssZr4jbn3Ng2wCNSudRG.json', '2024-11-08T10-37-51-05-00_mmlu_4LTh5AcPHhgMFwGy8tZRnf.json', '2024-11-08T10-44-29-05-00_mmlu_LNxANKzYkNky3uKwtT8Yng.json', '2024-11-08T10-57-22-05-00_mmlu_CMzTgsvvxXeyjtpVWRjGy3.json', '2024-11-08T11-04-28-05-00_mmlu_2JE6oEMZfE5g3AAAoUfE7y.json', '2024-11-08T11-11-26-05-00_mmlu_JRv3W9865Trq348KNBz9U9.json', '2024-11-08T11-18-24-05-00_mmlu_W9553TydUxhz8EoUMzz93a.json', '2024-11-08T11-25-24-05-00_mmlu_5jegowjh4ouMfToA2d7twm.json', '2024-11-08T11-46-25-05-00_mmlu_9F7bpL97wtXYYt7pKZQaxz.json']"
